%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1698280354681014718,55,1698280354679042100,GPS1_Frame,42.271840000000005,-71.02799666666667,15.1,332759.48615846515,4681950.342207212,19,T
1698280355680969478,56,1698280355679097652,GPS1_Frame,42.27186,-71.02796166666667,15.1,332762.42547638586,4681952.494274722,19,T
1698280356681610736,57,1698280356679802656,GPS1_Frame,42.271879999999996,-71.02793166666667,15.0,332764.95244673744,4681954.656164581,19,T
1698280357680621104,58,1698280357678753852,GPS1_Frame,42.27189833333333,-71.02790666666667,15.0,332767.0626620437,4681956.642808243,19,T
1698280358680078914,59,1698280358678174734,GPS1_Frame,42.27191833333333,-71.02789166666666,15.0,332768.3525929669,4681958.834162543,19,T
1698280359680444132,60,1698280359678417444,GPS1_Frame,42.271945,-71.02788833333334,15.0,332768.6980152301,4681961.788705044,19,T
1698280360680206114,61,1698280360678784847,GPS1_Frame,42.271975000000005,-71.02789666666666,15.0,332768.09011429746,4681965.136299421,19,T
1698280361680310745,62,1698280361678424596,GPS1_Frame,42.27201,-71.027915,14.8,332766.6707478552,4681969.058740383,19,T
1698280362681563939,63,1698280362679642677,GPS1_Frame,42.27204666666667,-71.027945,14.6,332764.29365352006,4681973.189165993,19,T
1698280363680491511,64,1698280363678491592,GPS1_Frame,42.27208166666666,-71.02798333333334,14.6,332761.22491335403,4681977.150893414,19,T
1698280364681712834,65,1698280364679881334,GPS1_Frame,42.27211333333333,-71.02802166666667,14.6,332758.14736047736,4681980.7424860615,19,T
1698280365680725872,66,1698280365679221153,GPS1_Frame,42.27214166666666,-71.02806000000001,14.6,332755.0609943714,4681983.963943922,19,T
1698280366680514392,67,1698280366678816318,GPS1_Frame,42.272164999999994,-71.028095,14.7,332752.2363021552,4681986.623650876,19,T
1698280367681025222,68,1698280367679013729,GPS1_Frame,42.27218,-71.028135,14.7,332748.9772264055,4681988.36784058,19,T
1698280368681839550,69,1698280368681160449,GPS1_Frame,42.27218166666667,-71.02818,14.7,332745.27054063603,4681988.641309232,19,T
1698280369681213890,70,1698280369679553270,GPS1_Frame,42.27217,-71.02822666666665,14.8,332741.3911384387,4681987.437509059,19,T
1698280370681373730,71,1698280370678962230,GPS1_Frame,42.27214833333334,-71.028275,14.7,332737.3478346979,4681985.126576527,19,T
1698280371680690925,72,1698280371678629875,GPS1_Frame,42.272125,-71.02832,14.5,332733.57501555677,4681982.624029414,19,T
1698280372681024049,73,1698280372679228782,GPS1_Frame,42.27209833333333,-71.028365,14.5,332729.7933759318,4681979.751348011,19,T
1698280373681564166,74,1698280373679753541,GPS1_Frame,42.27207,-71.02840666666665,14.4,332726.2822205785,4681976.687051449,19,T
1698280374681345263,75,1698280374679674625,GPS1_Frame,42.272041666666674,-71.02844333333334,14.4,332723.183406889,4681973.612932898,19,T
1698280375680979836,76,1698280375679119110,GPS1_Frame,42.27200833333333,-71.02846500000001,14.4,332721.30839795864,4681969.954139871,19,T
1698280376681147604,77,1698280376679107189,GPS1_Frame,42.271971666666666,-71.02846833333334,14.3,332720.9365012317,4681965.889190376,19,T
1698280377680791683,78,1698280377679276943,GPS1_Frame,42.271935,-71.02844833333333,14.2,332722.4888828491,4681961.778396796,19,T
1698280378680636680,79,1698280378678863763,GPS1_Frame,42.27189833333333,-71.02841666666667,14.1,332725.0034062965,4681957.644682005,19,T
1698280379680846414,80,1698280379678991794,GPS1_Frame,42.27186333333334,-71.02838166666668,14.1,332727.7972389974,4681953.689487431,19,T
1698280380683588400,81,1698280380681308507,GPS1_Frame,42.27182833333333,-71.02834333333334,14.2,332730.86597235553,4681949.727745296,19,T
