%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1698708317241810097,123,1698708317240138769,GPS1_Frame,42.27189166666667,-71.02788833333334,11.9,332768.55696474656,4681955.866525418,19,T
1698708318241039772,124,1698708318239820003,GPS1_Frame,42.27192,-71.02787333333335,11.9,332769.8689342852,4681958.983220546,19,T
1698708319241805582,125,1698708319240176439,GPS1_Frame,42.27195333333334,-71.02787666666667,11.9,332769.68219336536,4681962.691130089,19,T
1698708320241570021,126,1698708320239571094,GPS1_Frame,42.27199166666666,-71.02789833333333,11.9,332767.99674446613,4681966.990254245,19,T
1698708321242438794,127,1698708321240389585,GPS1_Frame,42.27202833333334,-71.02793166666667,11.8,332765.34475205804,4681971.127226801,19,T
1698708322274008384,128,1698708322271657228,GPS1_Frame,42.272061666666666,-71.02796666666667,11.7,332762.5464986982,4681974.897338016,19,T
1698708323241613910,129,1698708323239661216,GPS1_Frame,42.27209666666666,-71.02800166666665,11.7,332759.75265652675,4681978.852518575,19,T
1698708324241713477,130,1698708324239601612,GPS1_Frame,42.27212833333333,-71.02803166666666,11.7,332757.3623454131,4681982.427742436,19,T
1698708325273550762,131,1698708325272058725,GPS1_Frame,42.27215666666666,-71.02805833333333,11.7,332755.2381163431,4681985.626283082,19,T
1698708326241581510,132,1698708326239729404,GPS1_Frame,42.27218,-71.02808166666667,11.7,332753.37556032324,4681988.263072126,19,T
1698708327245174348,133,1698708327241787910,GPS1_Frame,42.27220333333333,-71.02810500000001,11.8,332751.5130057479,4681990.899861715,19,T
1698708328241990031,134,1698708328239868879,GPS1_Frame,42.27222666666667,-71.02813166666667,11.9,332749.37555695395,4681993.543199946,19,T
1698708329242709132,135,1698708329240775108,GPS1_Frame,42.27225,-71.02815833333334,12.0,332747.2381098066,4681996.1865388835,19,T
1698708330241007457,136,1698708330239662885,GPS1_Frame,42.27227666666666,-71.02818333333333,12.1,332745.2469290438,4681999.196740644,19,T
1698708331242880813,137,1698708331241121530,GPS1_Frame,42.272301666666664,-71.0282,12.1,332743.938579849,4682002.005504053,19,T
1698708332243169909,138,1698708332240829944,GPS1_Frame,42.27232333333333,-71.02820666666666,12.2,332743.4461003663,4682004.424486394,19,T
1698708333241392264,139,1698708333240255117,GPS1_Frame,42.272344999999994,-71.02820166666667,12.2,332743.91575431987,4682006.820549553,19,T
1698708334241289094,140,1698708334239681720,GPS1_Frame,42.27237,-71.02818333333333,12.3,332745.4938052676,4682009.560555817,19,T
1698708335241758338,141,1698708335240031719,GPS1_Frame,42.272395,-71.02815166666666,12.4,332748.17143478687,4682012.274369631,19,T
1698708336240956307,142,1698708336239105701,GPS1_Frame,42.272421666666666,-71.02811333333334,12.4,332751.4032602784,4682015.160156427,19,T
1698708337242989212,143,1698708337240815639,GPS1_Frame,42.27244833333332,-71.02807666666666,12.5,332754.4976357822,4682018.049218609,19,T
1698708338241619407,144,1698708338239933967,GPS1_Frame,42.27247166666666,-71.02804166666667,12.6,332757.44574505,4682020.571419743,19,T
1698708339240197978,145,1698708339239452123,GPS1_Frame,42.272495,-71.02800833333335,12.7,332760.2564049575,4682023.096895918,19,T
1698708340240258237,146,1698708340239136457,GPS1_Frame,42.272515000000006,-71.02798,12.8,332762.6459051119,4682025.262058325,19,T
1698708341240429257,147,1698708341239788532,GPS1_Frame,42.272528333333334,-71.02795666666665,12.8,332764.6054302035,4682026.696770293,19,T
1698708342240946646,148,1698708342239617347,GPS1_Frame,42.272536666666674,-71.02794333333333,12.9,332765.7270476074,4682027.595920852,19,T
1698708343274047904,149,1698708343272344827,GPS1_Frame,42.27254166666667,-71.027935,12.9,332766.42750734126,4682028.134756521,19,T
1698708344241811502,150,1698708344239739656,GPS1_Frame,42.27254500000001,-71.02793,12.9,332766.8486647238,4682028.495071583,19,T
1698708345242697337,151,1698708345240425825,GPS1_Frame,42.27255166666667,-71.02791833333335,13.0,332767.82842648355,4682029.212428065,19,T
1698708346242096860,152,1698708346240614891,GPS1_Frame,42.272568333333325,-71.02789333333334,13.0,332769.9342122872,4682031.014004012,19,T
1698708347240830934,153,1698708347239647388,GPS1_Frame,42.27259333333333,-71.02785666666666,13.1,332773.02416545426,4682033.718005879,19,T
1698708348274530561,154,1698708348271713018,GPS1_Frame,42.272626666666675,-71.02781666666667,13.2,332776.4110488704,4682037.340802607,19,T
1698708349242245208,155,1698708349240673780,GPS1_Frame,42.27266833333333,-71.027785,13.3,332779.1327327469,4682041.905309003,19,T
1698708350242187628,156,1698708350241059303,GPS1_Frame,42.27271833333332,-71.02776833333334,13.4,332780.63943042315,4682047.4246181855,19,T
1698708351239493433,157,1698708351238723516,GPS1_Frame,42.272771666666664,-71.02777166666667,13.4,332780.5055815185,4682053.35334547,19,T
1698708352243519476,158,1698708352241600513,GPS1_Frame,42.27283166666666,-71.02779833333334,13.4,332778.465112655,4682060.068174385,19,T
1698708353241585091,159,1698708353239664793,GPS1_Frame,42.27289333333333,-71.02784666666666,13.4,332774.64225297654,4682067.0106287785,19,T
1698708354275619414,160,1698708354272568225,GPS1_Frame,42.27296166666667,-71.02790833333333,13.4,332769.73746312445,4682074.71954762,19,T
1698708355240520279,161,1698708355239343166,GPS1_Frame,42.27303333333332,-71.02797666666667,13.3,332764.29171638563,4682082.8117018,19,T
1698708356243249650,162,1698708356241075038,GPS1_Frame,42.273109999999996,-71.02804833333333,13.2,332758.5843156622,4682091.465612953,19,T
1698708357242461166,163,1698708357241076469,GPS1_Frame,42.27319000000001,-71.02812166666666,13.2,332752.7483007011,4682100.49293961,19,T
1698708358242117014,164,1698708358240458726,GPS1_Frame,42.27327333333333,-71.02819166666667,13.1,332747.1960096909,4682109.883859647,19,T
